Date,Day,Status,Week,Sequence,IS,ML,BDE,RM,ADS
07/21/2026,Tuesday,Working day,Wk 1,Day 1,,,,,2
07/22/2026,Wednesday,Working day,Wk 1,Day 2,,4,,,1
07/23/2026,Thursday,Working day,Wk 1,Day 3,1,1,2,,3
07/24/2026,Friday,Working day,Wk 1,Day 4,2,1,1,1,
07/25/2026,Saturday,Holiday,Wk 0,-,,,,,
07/26/2026,Sunday,Holiday,Wk 0,-,,,,,
07/27/2026,Monday,Working day,Wk 1,Day 5,1,,1,4,
07/28/2026,Tuesday,Working day,Wk 2,Day 1,,,,,2
07/29/2026,Wednesday,Working day,Wk 2,Day 2,,4,,,1
07/30/2026,Thursday,Working day,Wk 2,Day 3,1,1,2,,3
07/31/2026,Friday,Working day,Wk 2,Day 4,2,1,1,1,
08/01/2026,Saturday,Holiday,Wk 0,-,,,,,
08/02/2026,Sunday,Holiday,Wk 0,-,,,,,
08/03/2026,Monday,Working day,Wk 2,Day 5,1,,1,4,
08/04/2026,Tuesday,Working day,Wk 3,Day 1,,,,,2
08/05/2026,Wednesday,Working day,Wk 3,Day 2,,4,,,1
08/06/2026,Thursday,Working day,Wk 3,Day 3,1,1,2,,3
08/07/2026,Friday,Working day,Wk 3,Day 4,2,1,1,1,
08/08/2026,Saturday,Holiday,Wk 0,-,,,,,
08/09/2026,Sunday,Holiday,Wk 0,-,,,,,
08/10/2026,Monday,Working day,Wk 3,Day 5,1,,1,4,
08/11/2026,Tuesday,Working day,Wk 4,Day 1,,,,,2
08/12/2026,Wednesday,Working day,Wk 4,Day 2,,4,,,1
08/13/2026,Thursday,Working day,Wk 4,Day 3,1,1,2,,3
08/14/2026,Friday,Working day,Wk 4,Day 4,2,1,1,1,
08/15/2026,Saturday,Holiday,Wk 0,-,,,,,
08/16/2026,Sunday,Holiday,Wk 0,-,,,,,
08/17/2026,Monday,Working day,Wk 4,Day 5,1,,1,4,
08/18/2026,Tuesday,Working day,Wk 5,Day 1,,,,,2
08/19/2026,Wednesday,Working day,Wk 5,Day 2,,4,,,1
08/20/2026,Thursday,Working day,Wk 5,Day 3,1,1,2,,3
08/21/2026,Friday,Working day,Wk 5,Day 4,2,1,1,1,
08/22/2026,Saturday,Holiday,Wk 0,-,,,,,
08/23/2026,Sunday,Holiday,Wk 0,-,,,,,
08/24/2026,Monday,Working day,Wk 5,Day 5,1,,1,4,
08/25/2026,Tuesday,Working day,Wk 6,Day 1,,,,,2
08/26/2026,Wednesday,Holiday,Wk 0,-,,,,,
08/27/2026,Thursday,Working day,Wk 6,Day 2,,4,,,1
08/28/2026,Friday,Working day,Wk 6,Day 3,1,1,2,,3
08/29/2026,Saturday,Holiday,Wk 0,-,,,,,
08/30/2026,Sunday,Holiday,Wk 0,-,,,,,
08/31/2026,Monday,Working day,Wk 6,Day 4,2,1,1,1,
09/01/2026,Tuesday,Working day,Wk 6,Day 5,1,,1,4,
09/02/2026,Wednesday,Working day,Wk 7,Day 1,,,,,2
09/03/2026,Thursday,Working day,Wk 7,Day 2,,4,,,1
09/04/2026,Friday,Holiday,Wk 0,-,,,,,
09/05/2026,Saturday,Holiday,Wk 0,-,,,,,
09/06/2026,Sunday,Holiday,Wk 0,-,,,,,
09/07/2026,Monday,Working day,Wk 7,Day 3,1,1,2,,3
09/08/2026,Tuesday,Working day,Wk 7,Day 4,2,1,1,1,
09/09/2026,Wednesday,Working day,Wk 7,Day 5,1,,1,4,
09/10/2026,Thursday,Working day,Wk 8,Day 1,,,,,2
09/11/2026,Friday,Working day,Wk 8,Day 2,,4,,,1
09/12/2026,Saturday,Holiday,Wk 0,-,,,,,
09/13/2026,Sunday,Holiday,Wk 0,-,,,,,
09/14/2026,Monday,Holiday,Wk 0,-,,,,,
09/15/2026,Tuesday,Working day,Wk 8,Day 3,1,1,2,,3
09/16/2026,Wednesday,Working day,Wk 8,Day 4,2,1,1,1,
09/17/2026,Thursday,Working day,Wk 8,Day 5,1,,1,4,
09/18/2026,Friday,Working day,Wk 9,Day 1,,,,,2
09/19/2026,Saturday,Holiday,Wk 0,-,,,,,
09/20/2026,Sunday,Holiday,Wk 0,-,,,,,
09/21/2026,Monday,Working day,Wk 9,Day 2,,4,,,1
09/22/2026,Tuesday,Working day,Wk 9,Day 3,1,1,2,,3
09/23/2026,Wednesday,Working day,Wk 9,Day 4,2,1,1,1,
09/24/2026,Thursday,Working day,Wk 9,Day 5,1,,1,4,
09/25/2026,Friday,Working day,Wk 10,Day 1,,,,,2
09/26/2026,Saturday,Holiday,Wk 0,-,,,,,
09/27/2026,Sunday,Holiday,Wk 0,-,,,,,
09/28/2026,Monday,Working day,Wk 10,Day 2,,4,,,1
09/29/2026,Tuesday,Working day,Wk 10,Day 3,1,1,2,,3
09/30/2026,Wednesday,Working day,Wk 10,Day 4,2,1,1,1,
